#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Name_key,playerID,teamID,salary,FullName,Age
114,Vernon Wells,TOR,159,648,23,87,100,9,0.042,0.131,0.183,0.283,0.275,0.305,0.457,0.327,,95,0.3,-3.6,-4.5,1.4,VERNON WELLS,wellsve01,TOR,221000.0,Vernon Wells,23.561943874058862
115,Frank Thomas,CHW,148,628,28,77,92,3,0.14,0.183,0.22,0.267,0.252,0.361,0.472,0.362,,119,-6.1,8.3,-15.9,1.4,FRANK THOMAS,thomafr04,CHA,9927000.0,Frank Thomas,34.09445585215606
116,Moises Alou,CHC,132,534,15,50,61,8,0.088,0.114,0.145,0.287,0.275,0.337,0.419,0.33,,101,-2.2,-1.6,-2.2,1.4,MOISES ALOU,aloumo01,CHN,6000000.0,Moises Alou,35.99452429842574
117,Tino Martinez,STL,150,576,21,63,75,3,0.101,0.123,0.176,0.267,0.262,0.337,0.438,0.334,,104,1.5,4.1,-9.7,1.3,TINO MARTINEZ,martiti02,SLN,5750000.0,Tino Martinez,34.56536618754278
118,Mark Grudzielanek,LAD,150,566,9,56,50,4,0.039,0.157,0.093,0.308,0.271,0.301,0.364,0.29,,79,-2.9,-18.0,11.6,1.2,MARK GRUDZIELANEK,grudzma01,LAN,5000000.0,Mark Grudzielanek,32.002737850787135
119,Cristian Guzman,MIN,148,656,9,80,59,12,0.026,0.12,0.112,0.298,0.273,0.292,0.385,0.293,,74,0.6,-20.7,9.4,1.1,CRISTIAN GUZMAN,guzmacr01,MIN,1425000.0,Cristian Guzman,24.279260780287473
120,Michael Young,TEX,156,633,9,77,62,6,0.065,0.177,0.12,0.308,0.262,0.308,0.382,0.302,,76,-0.9,-19.8,8.6,1.0,MICHAEL YOUNG,youngmi02,TEX,250000.0,Michael Young,25.697467488021903
121,Alex Gonzalez,CHC,142,568,18,58,61,5,0.081,0.239,0.177,0.302,0.248,0.312,0.425,0.317,,92,-4.3,-9.8,1.6,1.0,ALEX GONZALEZ,gonzaal01,CHN,4250000.0,Alex Gonzalez,29.229295003422312
121,Alex Gonzalez,CHC,142,568,18,58,61,5,0.081,0.239,0.177,0.302,0.248,0.312,0.425,0.317,,92,-4.3,-9.8,1.6,1.0,ALEX GONZALEZ,gonzaal02,FLO,1700000.0,Alex Gonzalez,25.371663244353183
122,Eric Young Sr.,MIL,138,553,3,57,28,31,0.071,0.069,0.089,0.296,0.28,0.338,0.369,0.315,,89,-1.3,-9.0,1.2,1.0,ERIC YOUNG SR,,,,,
123,Jeff Cirillo,SEA,146,547,6,51,54,8,0.057,0.122,0.078,0.273,0.249,0.301,0.328,0.282,,74,-2.0,-19.8,11.5,1.0,JEFF CIRILLO,cirilje01,SEA,6375000.0,Jeff Cirillo,32.76933607118412
124,Ben Grieve,TBD,136,561,19,62,64,8,0.123,0.216,0.18,0.297,0.251,0.353,0.432,0.344,,110,-3.6,3.7,-13.5,0.9,BEN GRIEVE,grievbe01,TBA,4000000.0,Ben Grieve,26.157426420260094
125,Bobby Higginson,DET,119,499,10,50,63,12,0.082,0.09,0.135,0.29,0.282,0.345,0.417,0.333,,105,2.8,6.1,-14.0,0.9,BOBBY HIGGINSON,higgibo02,DET,5850000.0,Bobby Higginson,31.86858316221766
126,Tony Batista,BAL,161,682,31,90,87,5,0.073,0.157,0.213,0.246,0.244,0.309,0.457,0.326,,100,-0.6,-0.3,-13.9,0.9,TONY BATISTA,batisto01,BAL,4900000.0,Tony Batista,28.55852156057495
127,Michael Tucker,KCR,144,543,12,65,56,23,0.103,0.193,0.158,0.294,0.248,0.33,0.406,0.325,,90,3.3,-3.1,-6.5,0.9,MICHAEL TUCKER,tuckemi01,KCA,2250000.0,Michael Tucker,31.017111567419576
128,Andy Fox,FLA,133,502,4,55,41,31,0.098,0.187,0.083,0.309,0.251,0.338,0.333,0.301,,83,4.8,-5.6,-2.0,0.9,ANDY FOX,foxan01,FLO,700000.0,Andy Fox,31.46611909650924
129,Rey Ordonez,NYM,144,499,1,53,42,2,0.048,0.092,0.07,0.278,0.254,0.292,0.324,0.264,,59,-0.8,-26.5,18.4,0.8,REY ORDONEZ,ordonre01,NYN,6250000.0,Rey Ordonez,31.468856947296374
130,Tony Womack,ARI,153,652,5,90,57,29,0.071,0.123,0.081,0.303,0.271,0.325,0.353,0.301,,75,6.9,-13.4,-0.6,0.7,TONY WOMACK,womacto01,ARI,4500000.0,Tony Womack,32.76386036960986
131,Travis Lee,PHI,153,592,13,55,70,5,0.091,0.176,0.129,0.306,0.265,0.331,0.394,0.315,,91,-1.9,-8.9,-3.2,0.7,TRAVIS LEE,leetr01,PHI,3000000.0,Travis Lee,27.09924709103354
132,Jeromy Burnitz,NYM,154,550,19,65,54,10,0.105,0.245,0.15,0.257,0.215,0.311,0.365,0.3,,83,1.1,-10.8,-0.4,0.7,JEROMY BURNITZ,burnije01,NYN,7166667.0,Jeromy Burnitz,33.210130047912386
133,Marty Cordova,BAL,131,513,18,55,64,1,0.092,0.216,0.181,0.295,0.253,0.325,0.434,0.33,,103,-4.7,-3.0,-8.0,0.6,MARTY CORDOVA,cordoma01,BAL,2500000.0,Marty Cordova,32.97467488021903
134,Terrence Long,OAK,162,640,16,71,67,3,0.075,0.15,0.15,0.262,0.24,0.298,0.39,0.299,,81,-0.5,-15.5,-0.4,0.6,TERRENCE LONG,longte01,OAK,675000.0,Terrence Long,26.33538672142368
135,Fernando Viña,STL,150,692,1,75,54,17,0.064,0.052,0.068,0.282,0.27,0.333,0.338,0.302,,82,-2.9,-18.3,1.2,0.5,FERNANDO VINA,vinafe01,SLN,4333333.0,Fernando Vina,33.20739219712526
136,Kevin Young,PIT,146,525,16,60,51,4,0.095,0.192,0.162,0.28,0.246,0.322,0.408,0.32,,92,-0.4,-5.5,-6.8,0.5,KEVIN YOUNG,youngke01,PIT,5625000.0,Kevin Young,33.040383299110196
137,Jack Wilson,PIT,147,586,4,77,47,5,0.063,0.126,0.08,0.287,0.252,0.306,0.332,0.285,,69,6.2,-16.7,2.0,0.4,JACK WILSON,wilsoja02,PIT,232000.0,Jack Wilson,24.503764544832308
138,Brian Daubach,BOS,137,506,20,62,78,2,0.101,0.249,0.198,0.325,0.266,0.348,0.464,0.351,,112,-3.2,4.6,-18.3,0.4,BRIAN DAUBACH,daubabr01,BOS,2325000.0,Brian Daubach,30.38466803559206
139,Mo Vaughn,NYM,139,558,26,67,72,0,0.106,0.26,0.197,0.314,0.259,0.349,0.456,0.35,,115,-5.8,4.8,-19.5,0.3,MO VAUGHN,vaughmo01,NYN,12166667.0,Mo Vaughn,34.54346338124572
140,Marlon Anderson,PHI,145,592,8,64,48,5,0.071,0.12,0.122,0.282,0.258,0.315,0.38,0.298,,79,0.2,-15.0,-1.7,0.3,MARLON ANDERSON,anderma02,PHI,400000.0,Marlon Anderson,28.48186173853525
141,Corey Patterson,CHC,153,628,14,71,54,18,0.03,0.226,0.139,0.308,0.253,0.284,0.392,0.293,,76,3.6,-14.9,-3.2,0.2,COREY PATTERSON,patteco01,CHN,227500.0,Corey Patterson,22.882956878850102
142,Jermaine Dye,OAK,131,555,24,74,86,2,0.094,0.195,0.207,0.274,0.252,0.333,0.459,0.343,,111,-2.5,5.0,-21.9,0.2,JERMAINE DYE,dyeje01,OAK,7166667.0,Jermaine Dye,28.421629021218344
143,Jeffrey Hammonds,MIL,128,510,9,47,41,4,0.102,0.169,0.141,0.294,0.257,0.332,0.397,0.322,,93,-2.3,-6.8,-9.9,0.0,JEFFREY HAMMONDS,hammoje01,MIL,7500000.0,Jeffrey Hammonds,31.32375085557837
144,Steve Cox,TBD,148,633,16,65,72,5,0.095,0.183,0.143,0.29,0.254,0.33,0.396,0.319,,94,-1.2,-6.2,-15.6,0.0,STEVE COX,coxst01,TBA,280000.0,Steve Cox,27.665982203969882
145,Barry Larkin,CIN,145,567,7,72,47,13,0.078,0.101,0.122,0.26,0.245,0.305,0.367,0.29,,70,2.8,-18.3,-1.2,-0.1,BARRY LARKIN,larkiba01,CIN,9000000.0,Barry Larkin,38.17385352498289
146,Brent Abernathy,TBD,117,504,2,46,40,10,0.05,0.091,0.069,0.264,0.242,0.288,0.311,0.269,,60,-0.2,-24.9,4.9,-0.3,BRENT ABERNATHY,abernbr01,TBA,215000.0,Brent Abernathy,24.76933607118412
147,Roger Cedeno,NYM,149,562,7,65,41,25,0.075,0.164,0.086,0.304,0.26,0.318,0.346,0.297,,80,3.8,-10.0,-11.2,-0.3,ROGER CEDENO,cedenro01,NYN,2375000.0,Roger Cedeno,27.874058863791923
148,Todd Zeile,COL,144,580,18,61,87,1,0.114,0.159,0.152,0.298,0.273,0.353,0.425,0.341,,89,-4.6,-12.6,-9.4,-0.3,TODD ZEILE,zeileto01,COL,6833333.0,Todd Zeile,36.80766598220397
149,Raul Mondesi,2 Tms,146,637,26,90,88,15,0.093,0.162,0.2,0.239,0.232,0.308,0.432,0.321,,93,3.7,-1.9,-23.6,-0.4,RAUL MONDESI,mondera01,TOR,11000000.0,Raul Mondesi,31.304585900068446
150,Deivi Cruz,SDP,151,547,7,49,47,2,0.04,0.106,0.103,0.282,0.263,0.294,0.366,0.288,,78,-7.9,-23.3,0.9,-0.5,DEIVI CRUZ,cruzde01,SDN,600000.0,Deivi Cruz,29.648186173853524
151,Randall Simon,DET,130,506,19,51,82,0,0.026,0.059,0.158,0.286,0.301,0.32,0.459,0.332,,105,-5.3,-2.3,-22.7,-0.8,RANDALL SIMON,simonra01,DET,290000.0,Randall Simon,27.10198494182067
152,Aramis Ramirez,PIT,142,570,18,51,71,2,0.051,0.167,0.153,0.248,0.234,0.279,0.387,0.287,,70,-1.8,-23.0,-4.2,-0.9,ARAMIS RAMIREZ,ramirar01,PIT,500000.0,Aramis Ramirez,24.016427104722794
153,Vinny Castilla,ATL,143,578,12,56,61,4,0.038,0.119,0.116,0.244,0.232,0.268,0.348,0.267,,58,-3.9,-34.4,0.7,-1.5,VINNY CASTILLA,castivi02,ATL,3000000.0,Vinny Castilla,34.992470910335385
154,Juan Uribe,COL,155,618,6,69,49,9,0.055,0.194,0.101,0.291,0.24,0.286,0.341,0.277,,46,1.0,-40.4,3.9,-1.6,JUAN URIBE,uribeju01,COL,222000.0,Juan Uribe,23.277207392197127
155,Neifi Perez,KCR,145,585,3,65,37,8,0.034,0.091,0.067,0.254,0.236,0.26,0.303,0.247,,39,0.7,-43.6,-5.4,-2.9,NEIFI PEREZ,perezne01,KCA,4100000.0,Neifi Perez,29.078713210130047
